EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1093,32,Non-Travel,983,Research & Development,7,2,Other,1,3,Male,97,3,2,Laboratory Technician,4,Married,92752,24746,2,Y,No,23,4,3,80,2,9,4,3,6,8,2,5
1094,39,Travel_Rarely,740,Sales,19,2,Other,1,3,Male,72,2,3,Sales Representative,3,Married,66047,10934,4,Y,Yes,11,3,3,80,1,15,2,3,7,1,5,3
1095,40,Non-Travel,862,Research & Development,3,2,Technical Degree,1,4,Female,97,3,4,Healthcare Representative,4,Single,87664,18489,1,Y,No,15,3,4,80,2,19,5,3,6,4,3,3
1096,32,Travel_Rarely,840,Research & Development,15,2,Life Sciences,1,2,Female,63,2,1,Manager,2,Married,74908,13685,3,Y,Yes,18,2,4,80,2,4,3,3,2,2,5,1
1097,52,Travel_Frequently,570,Sales,25,1,Other,1,2,Male,43,1,1,Manager,1,Married,47550,7046,8,Y,Yes,13,1,2,80,0,5,1,2,3,0,7,0
1098,41,Non-Travel,1095,Sales,4,1,Human Resources,1,3,Male,73,4,5,Sales Representative,4,Married,75606,17949,3,Y,No,21,4,3,80,1,15,3,4,7,6,2,3
1099,30,Non-Travel,605,Sales,18,2,Technical Degree,1,2,Male,52,2,3,Manager,3,Divorced,63194,13247,3,Y,No,15,2,3,80,0,14,2,3,2,1,2,3
1100,44,Travel_Rarely,762,Sales,8,5,Medical,1,2,Male,54,3,1,Sales Executive,3,Divorced,63119,13746,2,Y,Yes,11,3,3,80,0,8,2,3,7,2,2,2
1101,45,Non-Travel,1076,Research & Development,8,5,Other,1,3,Female,75,4,3,Manufacturing Director,3,Single,108872,18179,3,Y,No,23,3,3,80,2,18,5,4,18,7,0,7
1102,41,Travel_Frequently,238,Research & Development,29,1,Life Sciences,1,1,Male,56,2,2,Healthcare Representative,1,Divorced,67929,2638,8,Y,Yes,12,2,2,80,0,8,1,1,3,0,7,0
1103,36,Travel_Frequently,402,Human Resources,22,5,Life Sciences,1,2,Male,45,2,2,Manager,1,Divorced,43712,3600,6,Y,Yes,15,1,2,80,1,5,1,2,0,2,12,0
1104,31,Non-Travel,1417,Sales,9,2,Human Resources,1,4,Male,98,3,5,Sales Representative,4,Married,69209,20102,1,Y,No,16,3,4,80,3,11,4,3,11,6,3,10
1105,37,Travel_Rarely,454,Sales,8,4,Life Sciences,1,2,Male,55,3,1,Manager,3,Married,73110,11682,4,Y,Yes,12,3,3,80,1,8,1,2,8,3,5,3
1106,40,Travel_Rarely,819,Sales,14,3,Medical,1,2,Female,55,3,2,Research Scientist,3,Married,68544,8254,3,Y,Yes,16,2,2,80,2,10,1,2,8,1,3,3
1107,38,Travel_Rarely,1172,Sales,2,1,Medical,1,3,Male,71,4,2,Research Scientist,3,Single,84422,16752,1,Y,No,17,3,4,80,3,8,5,3,7,7,0,3
1108,49,Non-Travel,1358,Sales,7,4,Medical,1,4,Female,98,3,3,Research Scientist,4,Married,82312,22614,3,Y,No,19,4,3,80,1,18,2,4,12,7,3,9
1109,43,Non-Travel,1372,Sales,2,4,Human Resources,1,4,Female,77,3,3,Sales Executive,4,Married,70221,18366,1,Y,No,24,4,3,80,3,15,4,4,15,6,0,7
1110,31,Travel_Rarely,1328,Research & Development,1,2,Medical,1,3,Female,76,4,4,Manufacturing Director,3,Married,88290,16137,1,Y,No,15,3,3,80,1,22,3,4,14,5,3,3
1111,29,Travel_Rarely,928,Human Resources,3,2,Human Resources,1,3,Female,91,4,4,Human Resources,3,Married,78809,23649,1,Y,No,25,3,4,80,3,21,5,4,8,8,2,8
1112,41,Travel_Rarely,971,Sales,8,2,Medical,1,4,Female,76,3,2,Manager,3,Married,88733,18088,1,Y,Yes,25,4,3,80,2,20,3,3,20,5,2,4
1113,36,Travel_Frequently,263,Research & Development,19,1,Technical Degree,1,2,Female,38,2,1,Manager,2,Married,55351,2857,7,Y,Yes,11,1,2,80,0,2,1,1,2,2,11,0
1114,43,Travel_Frequently,438,Research & Development,26,1,Human Resources,1,2,Male,39,2,2,Manager,1,Divorced,76119,4436,4,Y,Yes,12,1,1,80,1,8,0,2,1,2,11,0
1115,41,Travel_Rarely,1376,Sales,8,5,Technical Degree,1,3,Male,78,4,5,Sales Executive,3,Single,88999,15493,1,Y,No,16,4,4,80,1,15,5,4,11,4,0,6
1116,37,Travel_Rarely,1248,Sales,9,2,Technical Degree,1,3,Female,91,3,5,Sales Representative,4,Single,91325,21779,3,Y,Yes,23,4,4,80,3,9,3,4,9,4,0,8
1117,31,Travel_Rarely,1097,Sales,2,1,Human Resources,1,3,Female,87,3,2,Manager,3,Married,85906,20510,1,Y,No,24,4,3,80,1,14,3,4,11,5,0,9
1118,25,Travel_Rarely,982,Human Resources,1,5,Human Resources,1,3,Female,82,3,3,Human Resources,4,Married,66338,16356,2,Y,No,24,4,3,80,3,25,5,3,8,7,2,9
1119,39,Travel_Rarely,892,Sales,10,1,Other,1,4,Female,84,4,2,Manager,4,Married,93403,17463,1,Y,No,20,4,4,80,3,14,5,3,13,10,0,6
1120,28,Travel_Frequently,358,Sales,28,2,Life Sciences,1,1,Female,42,1,2,Research Scientist,2,Married,57180,7205,7,Y,Yes,13,1,1,80,1,7,0,1,1,0,8,0
1121,30,Travel_Rarely,609,Research & Development,13,5,Technical Degree,1,2,Male,66,2,3,Research Scientist,3,Single,85241,8164,3,Y,Yes,14,2,3,80,0,14,3,3,4,1,5,1
1122,39,Travel_Frequently,750,Research & Development,14,5,Life Sciences,1,3,Male,53,3,2,Laboratory Technician,3,Single,93773,11946,4,Y,No,11,3,3,80,2,12,1,3,5,3,3,4
1123,38,Travel_Frequently,477,Research & Development,21,3,Marketing,1,1,Female,31,1,2,Manager,2,Married,74960,6776,5,Y,Yes,13,1,1,80,1,8,1,1,4,1,10,2
1124,28,Travel_Frequently,590,Sales,18,4,Other,1,3,Male,58,3,2,Sales Executive,2,Married,63009,12796,4,Y,Yes,14,2,2,80,0,15,2,2,3,3,6,2
1125,46,Non-Travel,1040,Human Resources,2,5,Human Resources,1,3,Male,90,4,5,Human Resources,4,Divorced,67189,16897,1,Y,No,17,4,4,80,2,18,5,3,18,3,1,5
1126,46,Travel_Frequently,787,Human Resources,5,2,Medical,1,2,Male,76,3,2,Manager,3,Married,54110,12350,5,Y,Yes,14,3,4,80,0,15,1,2,7,4,5,4
1127,42,Travel_Rarely,583,Sales,15,2,Other,1,3,Male,74,3,2,Sales Executive,2,Divorced,65441,9543,4,Y,Yes,16,3,4,80,2,10,3,2,3,1,2,3
1128,42,Travel_Rarely,594,Sales,18,2,Medical,1,3,Male,53,2,2,Manager,2,Married,66329,12483,2,Y,No,11,2,4,80,2,15,1,2,5,3,6,1
1129,42,Non-Travel,420,Human Resources,14,3,Technical Degree,1,3,Male,67,2,1,Human Resources,3,Married,61176,12066,3,Y,No,14,2,2,80,1,9,3,2,4,1,2,4
1130,58,Travel_Rarely,584,Sales,6,1,Other,1,2,Female,75,2,2,Manager,3,Single,61261,13544,5,Y,Yes,11,3,4,80,1,7,2,2,7,1,4,2
1131,45,Non-Travel,732,Human Resources,20,1,Medical,1,3,Male,78,3,2,Human Resources,3,Married,62460,14528,3,Y,Yes,18,2,4,80,1,8,2,3,7,1,4,3
1132,43,Travel_Frequently,106,Sales,19,2,Life Sciences,1,1,Male,52,2,2,Sales Executive,2,Married,41506,7553,7,Y,Yes,11,1,2,80,1,4,1,2,4,0,7,1
1133,31,Travel_Rarely,729,Sales,12,4,Marketing,1,2,Male,62,2,3,Sales Executive,3,Married,59881,11303,2,Y,No,16,3,2,80,1,8,1,2,6,4,5,2
1134,36,Travel_Rarely,586,Sales,19,4,Life Sciences,1,3,Female,76,2,2,Sales Executive,3,Divorced,49441,8444,2,Y,Yes,15,2,4,80,2,12,3,2,2,4,5,1
1135,56,Travel_Rarely,1325,Sales,2,5,Technical Degree,1,3,Female,76,3,4,Manager,4,Married,70379,17072,3,Y,No,22,3,3,80,1,15,3,3,15,8,2,8
1136,23,Travel_Rarely,1216,Research & Development,10,3,Life Sciences,1,4,Male,98,4,4,Laboratory Technician,3,Married,106702,20302,3,Y,No,17,3,3,80,3,9,3,4,5,3,3,10
1137,34,Travel_Frequently,398,Sales,23,3,Technical Degree,1,2,Female,48,1,2,Sales Representative,1,Married,47223,7465,6,Y,Yes,11,1,2,80,0,7,1,2,1,0,9,2
1138,46,Non-Travel,943,Sales,9,1,Life Sciences,1,4,Female,86,4,5,Research Scientist,3,Married,83056,25405,1,Y,No,16,3,3,80,2,25,5,3,13,5,0,7
1139,32,Travel_Rarely,985,Human Resources,1,3,Human Resources,1,3,Female,87,3,5,Manager,3,Single,72457,18329,3,Y,No,23,3,4,80,1,11,3,4,11,7,3,5
1140,43,Non-Travel,513,Sales,7,4,Other,1,2,Female,78,3,2,Sales Representative,2,Divorced,50392,9747,3,Y,Yes,13,2,4,80,2,10,1,3,5,3,2,3
1141,38,Travel_Frequently,422,Human Resources,19,5,Human Resources,1,3,Female,59,2,2,Human Resources,2,Married,57568,15358,5,Y,No,15,2,3,80,1,7,2,2,7,2,2,3
1142,32,Non-Travel,1288,Sales,5,5,Human Resources,1,4,Male,96,3,2,Sales Executive,3,Single,80029,17729,2,Y,No,16,4,3,80,1,18,2,3,18,4,1,3
1143,22,Travel_Frequently,342,Human Resources,21,4,Marketing,1,1,Female,35,1,1,Human Resources,1,Single,51132,6370,9,Y,Yes,14,2,1,80,0,8,1,1,2,2,6,1
1144,39,Travel_Frequently,182,Sales,21,2,Marketing,1,1,Female,35,1,1,Sales Representative,2,Married,40213,3808,8,Y,Yes,13,1,1,80,1,5,0,1,0,2,11,2
1145,31,Travel_Frequently,568,Human Resources,20,1,Human Resources,1,2,Male,69,2,2,Human Resources,2,Married,50354,13401,3,Y,No,12,2,3,80,0,7,2,3,3,4,4,3
